×é±ð,ÄêÁä,ÐÔ±ð,ÌåÖØ£¨kg£©,»·¾³ÎÂ¶È,´ÖÖ¬·¾%,´Öµ°°×%,´ÖÏËÎ¬%,Ì¼Ë®»¯ºÏÎï%
DP1,6,´Æ,94,1,2.067541124,9.058094548,37.06899468,1.794440948
DP2,4,ÐÛ,102,0,1.928649,8.7478722,39.5243136,2.1694803
DP3,22,ÐÛ,105,-0.5,2.276898646,8.98743071,36.41088198,3.569264878
DP4,28,´Æ,88,0.5,1.9406406,8.2322334,39.8670735,2.6091723
DP5,8,ÐÛ,128,0.5,2.34849241,8.962193625,36.11932492,4.320906426
DP6,8,ÐÛ,125,0.5,2.22916947,8.896577204,36.45400617,3.603336542
DP7,6,ÐÛ,144,-1,2.0055951,8.8388085,39.0796251,2.9349441
CP1,6,´Æ,100,16,2.040422274,8.97834536,37.21992935,1.612725409
CP3,4,ÐÛ,112,15,1.9266504,8.7518694,39.5203164,2.178474
CP4,22,ÐÛ,105,16.5,2.254118812,8.959165175,36.436194,3.566167454
CP5,28,´Æ,86,15,2.276898646,8.98743071,36.41088198,3.569264878
CP6,8,ÐÛ,124,14.5,2.22916947,8.896577204,36.45400617,3.603336542
CP7,8,ÐÛ,125,16.5,1.9266504,8.7518694,39.5203164,2.178474
CP9,6,ÐÛ,150,15,1.9796133,8.8168239,39.2734893,2.5692003
XP1,6,´Æ,99,23,2.107677022,9.488134477,36.48494309,2.261119492
XP4,4,ÐÛ,124,24.5,1.9016679,8.7148953,39.1735593,1.9166574
XP5,22,ÐÛ,110,23,2.151067182,8.834998717,37.08961929,2.269379289
XP6,28,´Æ,91,25.5,2.276898646,8.98743071,36.41088198,3.569264878
XP7,8,ÐÛ,138,24.5,2.0665524,8.7468729,38.912742,3.5535108
XP8,8,ÐÛ,127,23.5,2.172762262,8.831970267,36.69775161,3.167632238
XP9,6,ÐÛ,149,23,2.276898646,8.98743071,36.41088198,3.569264878
QP1,6,´Æ,98,15,2.22916947,8.896577204,36.45400617,3.603336542
QP2,4,ÐÛ,124,15.5,1.9266504,8.7518694,39.5203164,2.178474
QP3,22,ÐÛ,104,16,2.195542096,8.884463403,36.69118924,3.112911081
QP5,28,´Æ,84,14.5,1.8866784,8.1612831,40.1428803,2.1644838
QP6,8,ÐÛ,136,15.5,2.187948818,8.771401263,36.75025063,3.235775565
QP7,8,ÐÛ,126,15.5,2.0015979,8.7428757,39.1175985,3.0658524
QP8,6,ÐÛ,148,16,2.314865036,9.263019678,35.91307878,4.058657864
