Sample	GROUP
DD202004_4	Apr
FX202004_3	Apr
GG202004_1	Apr
JN202004_2	Apr
ME202004_6	Apr
ML202004_7	Apr
DD202008_4	Aug
FX202008_3	Aug
GG202008_1	Aug
JN202008_2	Aug
MD202008_5	Aug
ME202008_6	Aug
ML202008_7	Aug
DD201912_4	Dec
FX201912_3	Dec
GG201912_1	Dec
JN201912_2	Dec
MD201912_5	Dec
ME201912_6	Dec
ML201912_7	Dec
DD202002_4	Feb
FX202002_3	Feb
GG202002_1	Feb
JN202002_2	Feb
MD202002_5	Feb
ME202002_6	Feb
ML202002_7	Feb
DD202001_4	Jan
FX202001_3	Jan
GG202001_1	Jan
JN202001_2	Jan
MD202001_5	Jan
ME202001_6	Jan
ML202001_7	Jan
DD202007_4	Jul
FX202007_3	Jul
GG202007_1	Jul
JN202007_2	Jul
MD202007_5	Jul
ME202007_6	Jul
ML202007_7	Jul
DD202006_4	Jun
FX202006_3	Jun
GG202006_1	Jun
JN202006_2	Jun
MD202006_5	Jun
ME202006_6	Jun
ML202006_7	Jun
DD202003_4	Mar
FX202003_3	Mar
GG202003_1	Mar
JN202003_2	Mar
MD202003_5	Mar
ME202003_6	Mar
ML202003_7	Mar
DD202005_4	May
FX202005_3	May
GG202005_1	May
JN202005_2	May
MD202005_5	May
ME202005_6	May
ML202005_7	May
FX201911_3	Nov
GG201911_1	Nov
JN201911_2	Nov
MD201911_5	Nov
ME201911_6	Nov
ML201911_7	Nov
DD201910_4	Oct
FX201910_3	Oct
GG201910_1	Oct
JN201910_2	Oct
MD201910_5	Oct
ME201910_6	Oct
ML201910_7	Oct
DD201909_4	Sep
FX201909_3	Sep
GG201909_1	Sep
JN201909_2	Sep
MD201909_5	Sep
ME201909_6	Sep
ML201909_7	Sep
