"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"Acinetobacter__Total","0.0498359861238649","0.0216393097643098","12","6.5","0.00489261896764293"
"Actinobacillus__Total","1","1","12","0","0.000351388453186004"
"Campylobacter__Total","1","1","12","1","0.000905386641054536"
"Cellulosilyticum__Total","0.0174992985409652","0.00598660213243547","12","7","0.000472847308542268"
"Clostridium__Total","1","1","12","10","0.0733284986422597"
"Enterobacter__Total","0.273020447748709","0.165249218374218","12","6","0.00131157957636697"
"Enterococcus__Total","0.0174992985409652","0.00598660213243547","12","8.5","0.00250752127192867"
"Escherichia-Shigella__Total","0.0498359861238649","0.0216393097643098","12","8","0.103311692421936"
"Hafnia-Obesumbacterium__Total","0.190167911159975","0.10509279300946","12","3.5","0.0074786865731169"
"Klebsiella__Total","0.0806017238077423","0.0381797639089306","12","7.5","0.0045902478900891"
"Lactococcus__Total","0.000441026425874911","6.38327721661055e-05","12","4.5","0.00213158184454263"
"Ligilactobacillus__Total","0.190167911159975","0.10509279300946","12","5.5","0.00385016187966379"
"Romboutsia__Total","0.273020447748709","0.165249218374218","12","3.5","0.000724194395942365"
"Streptococcus__Total","0.000222763347763348","1.75865800865801e-05","12","3","0.248158608168023"
"Terrisporobacter__Total","0.000222763347763348","1.75865800865801e-05","12","10","0.00761968322296892"
"Turicibacter__Total","0.0306457500566696","0.0116937730479397","12","3","0.0219042449916219"
"Weissella__Total","1","0.754429763908931","12","4","0.01290743474273"
"unclassified-Enterobacteriaceae__Total","1","1","12","6","0.00701400272310141"
"unclassified-Pasteurellaceae__Total","1","1","12","3","0.0012992171708497"
"Acinetobacter__Independent","0.555251401346173","0.372602914061247","12","2.5","0.00164107343045912"
"Actinobacillus__Independent","1","1","12","0","0.000351388453186004"
"Campylobacter__Independent","0.0806017238077423","0.0381797639089306","12","8","0.000560080472185699"
"Cellulosilyticum__Independent","0.00515632515632516","0.00128908128908129","12","6","0.000531078974074301"
"Clostridium__Independent","1","1","0","0","0"
"Enterobacter__Independent","0.000222763347763348","1.75865800865801e-05","12","4","0.00269205869455918"
"Enterococcus__Independent","0.000441026425874911","6.38327721661055e-05","12","9.5","0.00143642554472469"
"Escherichia-Shigella__Independent","0.0498359861238649","0.0216393097643098","12","10","0.0812139438490257"
"Hafnia-Obesumbacterium__Independent","1","1","12","8","0.00153020069929422"
"Klebsiella__Independent","0.0104239103048627","0.00288029100529101","12","6","0.00971807160771901"
"Lactococcus__Independent","0.273020447748709","0.165249218374218","12","4.5","0.000840268845817235"
"Ligilactobacillus__Independent","0.190167911159975","0.10509279300946","12","7","0.00536695738201814"
"Romboutsia__Independent","1","1","12","8","6.60465718166545e-05"
"Streptococcus__Independent","0.000146604938271605","3.85802469135802e-06","12","2.5","0.147618244245142"
"Terrisporobacter__Independent","0.000222763347763348","1.75865800865801e-05","12","9","0.00487811395360816"
"Turicibacter__Independent","0.00515632515632516","0.00128908128908129","12","2.5","0.0195093897710608"
"Weissella__Independent","0.000441026425874911","6.38327721661055e-05","12","2.5","0.0468141369953982"
"unclassified-Enterobacteriaceae__Independent","0.784616375137208","0.536842782988616","12","4","0.00304800066634028"
"unclassified-Pasteurellaceae__Independent","0.0026830607663941","0.000529551467051467","12","10","0.00268183471642738"
"Acinetobacter__Bacterial","0.000441026425874911","6.38327721661055e-05","12","6.5","0.00612558752979936"
"Actinobacillus__Bacterial","1","1","0","0","0"
"Campylobacter__Bacterial","0.555251401346173","0.372602914061247","12","1","0.00160774459025385"
"Cellulosilyticum__Bacterial","1","1","12","9","0.00034253599737148"
"Clostridium__Bacterial","0.190167911159975","0.10509279300946","12","11","0.0204303020020258"
"Enterobacter__Bacterial","0.0806017238077423","0.0381797639089306","12","2","0.000583586011440772"
"Enterococcus__Bacterial","0.39049144260879","0.25176421957672","12","8.5","0.00117725228417746"
"Escherichia-Shigella__Bacterial","0.0498359861238649","0.0216393097643098","12","5","0.0595046360302368"
"Hafnia-Obesumbacterium__Bacterial","0.0174992985409652","0.00598660213243547","12","4","0.00420914387331433"
"Klebsiella__Bacterial","0.0104239103048627","0.00288029100529101","12","11","0.00754386777204602"
"Lactococcus__Bacterial","0.000146604938271605","3.85802469135802e-06","12","5","0.00126856120873198"
"Ligilactobacillus__Bacterial","0.000441026425874911","6.38327721661055e-05","12","0","0.00913332484881121"
"Romboutsia__Bacterial","0.00515632515632516","0.00128908128908129","12","6.5","0.000340421835396102"
"Streptococcus__Bacterial","0.0306457500566696","0.0116937730479397","12","3","0.0783692038978881"
"Terrisporobacter__Bacterial","0.00124201672812784","0.000196107904441238","12","9.5","0.00432190770708251"
"Turicibacter__Bacterial","1","1","0","0","0"
"Weissella__Bacterial","0.129127384960718","0.0645636924803591","12","8","0.0168910033369739"
"unclassified-Enterobacteriaceae__Bacterial","0.00515632515632516","0.00128908128908129","12","6","0.021039295955545"
"unclassified-Pasteurellaceae__Bacterial","1","1","0","0","0"
"Acinetobacter__External","1","1","0","0","0"
"Actinobacillus__External","1","1","0","0","0"
"Campylobacter__External","1","1","0","0","0"
"Cellulosilyticum__External","1","1","0","0","0"
"Clostridium__External","0.39049144260879","0.25176421957672","12","10","0.0472250979842949"
"Enterobacter__External","0.273020447748709","0.165249218374218","12","9","0.00490999206651632"
"Enterococcus__External","1","1","0","0","0"
"Escherichia-Shigella__External","1","1","12","9","0.0315925835011802"
"Hafnia-Obesumbacterium__External","0.0174992985409652","0.00598660213243547","12","3","0.00603203902203204"
"Klebsiella__External","1","1","0","0","0"
"Lactococcus__External","1","1","0","0","0"
"Ligilactobacillus__External","0.129127384960718","0.0645636924803591","12","5","0.00719344701575128"
"Romboutsia__External","0.0306457500566696","0.0116937730479397","12","3","0.00103087202631912"
"Streptococcus__External","0.0174992985409652","0.00598660213243547","12","3","0.038102410630956"
"Terrisporobacter__External","0.0026830607663941","0.000529551467051467","12","2","0.00295963345244503"
"Turicibacter__External","1","1","12","11","0.00339391791238891"
"Weissella__External","0.0026830607663941","0.000529551467051467","12","9","0.0197386828161342"
"unclassified-Enterobacteriaceae__External","0.39049144260879","0.25176421957672","12","10.5","0.0136171451309284"
"unclassified-Pasteurellaceae__External","1","1","12","4","0.00359403623095562"
