"CycID","Genus","Component","JTK_P_raw","JTK_BH_Q","PER","LAG","AMP","Significant"
"Lactococcus__Bacterial","Lactococcus","Bacterial",3.85802469135802e-06,0.000146604938271605,12,5,0.00126856120873198,TRUE
"Acinetobacter__Bacterial","Acinetobacter","Bacterial",6.38327721661055e-05,0.000441026425874911,12,6.5,0.00612558752979936,TRUE
"Ligilactobacillus__Bacterial","Ligilactobacillus","Bacterial",6.38327721661055e-05,0.000441026425874911,12,0,0.00913332484881121,TRUE
"Terrisporobacter__Bacterial","Terrisporobacter","Bacterial",0.000196107904441238,0.00124201672812784,12,9.5,0.00432190770708251,TRUE
"Romboutsia__Bacterial","Romboutsia","Bacterial",0.00128908128908129,0.00515632515632516,12,6.5,0.000340421835396102,TRUE
"unclassified-Enterobacteriaceae__Bacterial","unclassified-Enterobacteriaceae","Bacterial",0.00128908128908129,0.00515632515632516,12,6,0.021039295955545,TRUE
"Klebsiella__Bacterial","Klebsiella","Bacterial",0.00288029100529101,0.0104239103048627,12,11,0.00754386777204602,TRUE
"Hafnia-Obesumbacterium__Bacterial","Hafnia-Obesumbacterium","Bacterial",0.00598660213243547,0.0174992985409652,12,4,0.00420914387331433,TRUE
"Streptococcus__Bacterial","Streptococcus","Bacterial",0.0116937730479397,0.0306457500566696,12,3,0.0783692038978881,TRUE
"Escherichia-Shigella__Bacterial","Escherichia-Shigella","Bacterial",0.0216393097643098,0.0498359861238649,12,5,0.0595046360302368,TRUE
"Enterobacter__Bacterial","Enterobacter","Bacterial",0.0381797639089306,0.0806017238077423,12,2,0.000583586011440772,TRUE
"Weissella__Bacterial","Weissella","Bacterial",0.0645636924803591,0.129127384960718,12,8,0.0168910033369739,FALSE
"Clostridium__Bacterial","Clostridium","Bacterial",0.10509279300946,0.190167911159975,12,11,0.0204303020020258,FALSE
"Enterococcus__Bacterial","Enterococcus","Bacterial",0.25176421957672,0.39049144260879,12,8.5,0.00117725228417746,FALSE
"Campylobacter__Bacterial","Campylobacter","Bacterial",0.372602914061247,0.555251401346173,12,1,0.00160774459025385,FALSE
"Actinobacillus__Bacterial","Actinobacillus","Bacterial",1,1,0,0,0,FALSE
"Cellulosilyticum__Bacterial","Cellulosilyticum","Bacterial",1,1,12,9,0.00034253599737148,FALSE
"Turicibacter__Bacterial","Turicibacter","Bacterial",1,1,0,0,0,FALSE
"unclassified-Pasteurellaceae__Bacterial","unclassified-Pasteurellaceae","Bacterial",1,1,0,0,0,FALSE
"Terrisporobacter__External","Terrisporobacter","External",0.000529551467051467,0.0026830607663941,12,2,0.00295963345244503,TRUE
"Weissella__External","Weissella","External",0.000529551467051467,0.0026830607663941,12,9,0.0197386828161342,TRUE
"Hafnia-Obesumbacterium__External","Hafnia-Obesumbacterium","External",0.00598660213243547,0.0174992985409652,12,3,0.00603203902203204,TRUE
"Streptococcus__External","Streptococcus","External",0.00598660213243547,0.0174992985409652,12,3,0.038102410630956,TRUE
"Romboutsia__External","Romboutsia","External",0.0116937730479397,0.0306457500566696,12,3,0.00103087202631912,TRUE
"Ligilactobacillus__External","Ligilactobacillus","External",0.0645636924803591,0.129127384960718,12,5,0.00719344701575128,FALSE
"Enterobacter__External","Enterobacter","External",0.165249218374218,0.273020447748709,12,9,0.00490999206651632,FALSE
"Clostridium__External","Clostridium","External",0.25176421957672,0.39049144260879,12,10,0.0472250979842949,FALSE
"unclassified-Enterobacteriaceae__External","unclassified-Enterobacteriaceae","External",0.25176421957672,0.39049144260879,12,10.5,0.0136171451309284,FALSE
"Acinetobacter__External","Acinetobacter","External",1,1,0,0,0,FALSE
"Actinobacillus__External","Actinobacillus","External",1,1,0,0,0,FALSE
"Campylobacter__External","Campylobacter","External",1,1,0,0,0,FALSE
"Cellulosilyticum__External","Cellulosilyticum","External",1,1,0,0,0,FALSE
"Enterococcus__External","Enterococcus","External",1,1,0,0,0,FALSE
"Escherichia-Shigella__External","Escherichia-Shigella","External",1,1,12,9,0.0315925835011802,FALSE
"Klebsiella__External","Klebsiella","External",1,1,0,0,0,FALSE
"Lactococcus__External","Lactococcus","External",1,1,0,0,0,FALSE
"Turicibacter__External","Turicibacter","External",1,1,12,11,0.00339391791238891,FALSE
"unclassified-Pasteurellaceae__External","unclassified-Pasteurellaceae","External",1,1,12,4,0.00359403623095562,FALSE
"Streptococcus__Independent","Streptococcus","Independent",3.85802469135802e-06,0.000146604938271605,12,2.5,0.147618244245142,TRUE
"Enterobacter__Independent","Enterobacter","Independent",1.75865800865801e-05,0.000222763347763348,12,4,0.00269205869455918,TRUE
"Terrisporobacter__Independent","Terrisporobacter","Independent",1.75865800865801e-05,0.000222763347763348,12,9,0.00487811395360816,TRUE
"Enterococcus__Independent","Enterococcus","Independent",6.38327721661055e-05,0.000441026425874911,12,9.5,0.00143642554472469,TRUE
"Weissella__Independent","Weissella","Independent",6.38327721661055e-05,0.000441026425874911,12,2.5,0.0468141369953982,TRUE
"unclassified-Pasteurellaceae__Independent","unclassified-Pasteurellaceae","Independent",0.000529551467051467,0.0026830607663941,12,10,0.00268183471642738,TRUE
"Cellulosilyticum__Independent","Cellulosilyticum","Independent",0.00128908128908129,0.00515632515632516,12,6,0.000531078974074301,TRUE
"Turicibacter__Independent","Turicibacter","Independent",0.00128908128908129,0.00515632515632516,12,2.5,0.0195093897710608,TRUE
"Klebsiella__Independent","Klebsiella","Independent",0.00288029100529101,0.0104239103048627,12,6,0.00971807160771901,TRUE
"Escherichia-Shigella__Independent","Escherichia-Shigella","Independent",0.0216393097643098,0.0498359861238649,12,10,0.0812139438490257,TRUE
"Campylobacter__Independent","Campylobacter","Independent",0.0381797639089306,0.0806017238077423,12,8,0.000560080472185699,TRUE
"Ligilactobacillus__Independent","Ligilactobacillus","Independent",0.10509279300946,0.190167911159975,12,7,0.00536695738201814,FALSE
"Lactococcus__Independent","Lactococcus","Independent",0.165249218374218,0.273020447748709,12,4.5,0.000840268845817235,FALSE
"Acinetobacter__Independent","Acinetobacter","Independent",0.372602914061247,0.555251401346173,12,2.5,0.00164107343045912,FALSE
"unclassified-Enterobacteriaceae__Independent","unclassified-Enterobacteriaceae","Independent",0.536842782988616,0.784616375137208,12,4,0.00304800066634028,FALSE
"Actinobacillus__Independent","Actinobacillus","Independent",1,1,12,0,0.000351388453186004,FALSE
"Clostridium__Independent","Clostridium","Independent",1,1,0,0,0,FALSE
"Hafnia-Obesumbacterium__Independent","Hafnia-Obesumbacterium","Independent",1,1,12,8,0.00153020069929422,FALSE
"Romboutsia__Independent","Romboutsia","Independent",1,1,12,8,6.60465718166545e-05,FALSE
"Streptococcus__Total","Streptococcus","Total",1.75865800865801e-05,0.000222763347763348,12,3,0.248158608168023,TRUE
"Terrisporobacter__Total","Terrisporobacter","Total",1.75865800865801e-05,0.000222763347763348,12,10,0.00761968322296892,TRUE
"Lactococcus__Total","Lactococcus","Total",6.38327721661055e-05,0.000441026425874911,12,4.5,0.00213158184454263,TRUE
"Cellulosilyticum__Total","Cellulosilyticum","Total",0.00598660213243547,0.0174992985409652,12,7,0.000472847308542268,TRUE
"Enterococcus__Total","Enterococcus","Total",0.00598660213243547,0.0174992985409652,12,8.5,0.00250752127192867,TRUE
"Turicibacter__Total","Turicibacter","Total",0.0116937730479397,0.0306457500566696,12,3,0.0219042449916219,TRUE
"Acinetobacter__Total","Acinetobacter","Total",0.0216393097643098,0.0498359861238649,12,6.5,0.00489261896764293,TRUE
"Escherichia-Shigella__Total","Escherichia-Shigella","Total",0.0216393097643098,0.0498359861238649,12,8,0.103311692421936,TRUE
"Klebsiella__Total","Klebsiella","Total",0.0381797639089306,0.0806017238077423,12,7.5,0.0045902478900891,TRUE
"Hafnia-Obesumbacterium__Total","Hafnia-Obesumbacterium","Total",0.10509279300946,0.190167911159975,12,3.5,0.0074786865731169,FALSE
"Ligilactobacillus__Total","Ligilactobacillus","Total",0.10509279300946,0.190167911159975,12,5.5,0.00385016187966379,FALSE
"Enterobacter__Total","Enterobacter","Total",0.165249218374218,0.273020447748709,12,6,0.00131157957636697,FALSE
"Romboutsia__Total","Romboutsia","Total",0.165249218374218,0.273020447748709,12,3.5,0.000724194395942365,FALSE
"Weissella__Total","Weissella","Total",0.754429763908931,1,12,4,0.01290743474273,FALSE
"Actinobacillus__Total","Actinobacillus","Total",1,1,12,0,0.000351388453186004,FALSE
"Campylobacter__Total","Campylobacter","Total",1,1,12,1,0.000905386641054536,FALSE
"Clostridium__Total","Clostridium","Total",1,1,12,10,0.0733284986422597,FALSE
"unclassified-Enterobacteriaceae__Total","unclassified-Enterobacteriaceae","Total",1,1,12,6,0.00701400272310141,FALSE
"unclassified-Pasteurellaceae__Total","unclassified-Pasteurellaceae","Total",1,1,12,3,0.0012992171708497,FALSE
