"Genus","Bacterial","External","Independent","Total","Total_Sig","Independent_Sig","Bacterial_Sig","External_Sig"
"Terrisporobacter",0.000196107904441238,0.000529551467051467,1.75865800865801e-05,1.75865800865801e-05,TRUE,TRUE,TRUE,TRUE
"Streptococcus",0.0116937730479397,0.00598660213243547,3.85802469135802e-06,1.75865800865801e-05,TRUE,TRUE,TRUE,TRUE
"Lactococcus",3.85802469135802e-06,1,0.165249218374218,6.38327721661055e-05,TRUE,FALSE,TRUE,FALSE
"Enterococcus",0.25176421957672,1,6.38327721661055e-05,0.00598660213243547,TRUE,TRUE,FALSE,FALSE
"Cellulosilyticum",1,1,0.00128908128908129,0.00598660213243547,TRUE,TRUE,FALSE,FALSE
"Turicibacter",1,1,0.00128908128908129,0.0116937730479397,TRUE,TRUE,FALSE,FALSE
"Acinetobacter",6.38327721661055e-05,1,0.372602914061247,0.0216393097643098,TRUE,FALSE,TRUE,FALSE
"Escherichia-Shigella",0.0216393097643098,1,0.0216393097643098,0.0216393097643098,TRUE,TRUE,TRUE,FALSE
"Klebsiella",0.00288029100529101,1,0.00288029100529101,0.0381797639089306,TRUE,TRUE,TRUE,FALSE
"Ligilactobacillus",6.38327721661055e-05,0.0645636924803591,0.10509279300946,0.10509279300946,FALSE,FALSE,TRUE,FALSE
"Hafnia-Obesumbacterium",0.00598660213243547,0.00598660213243547,1,0.10509279300946,FALSE,FALSE,TRUE,TRUE
"Romboutsia",0.00128908128908129,0.0116937730479397,1,0.165249218374218,FALSE,FALSE,TRUE,TRUE
"Enterobacter",0.0381797639089306,0.165249218374218,1.75865800865801e-05,0.165249218374218,FALSE,TRUE,TRUE,FALSE
"Weissella",0.0645636924803591,0.000529551467051467,6.38327721661055e-05,0.754429763908931,FALSE,TRUE,FALSE,TRUE
"unclassified-Enterobacteriaceae",0.00128908128908129,0.25176421957672,0.536842782988616,1,FALSE,FALSE,TRUE,FALSE
"Clostridium",0.10509279300946,0.25176421957672,1,1,FALSE,FALSE,FALSE,FALSE
"Campylobacter",0.372602914061247,1,0.0381797639089306,1,FALSE,TRUE,FALSE,FALSE
"Actinobacillus",1,1,1,1,FALSE,FALSE,FALSE,FALSE
"unclassified-Pasteurellaceae",1,1,0.000529551467051467,1,FALSE,TRUE,FALSE,FALSE
