"Genus","RMSE","R2","Obs_Mean","Pred_Mean"
"Acinetobacter",0.00485630226385583,-7.74372855128121,0.00168032062544835,-0.000115645313087009
"Actinobacillus",0.00106695837272209,0.049489941397923,0.000835611881023423,0.000126375663692188
"Campylobacter",0.00189066648683405,-3.18156124507178,0.00121768014388639,0.000624514915795374
"Cellulosilyticum",0.00381503470411159,-0.352959538974567,0.00289410211359123,0.000415483135490698
"Clostridium",0.060832836408808,-0.825041738820418,0.113068813872977,0.131222225897334
"Enterobacter",0.00179016971249367,-22.144944734625,0.000619886263216443,-0.000335343446925827
"Enterococcus",0.00312985868085357,-1.10677788655199,0.00204029650576481,0.00137542120562146
"Escherichia-Shigella",0.158954162649528,-0.126676201343425,0.294241945377234,0.311458937401736
"Hafnia-Obesumbacterium",0.00764306460179996,-212.992696996541,0.000618586711301943,-0.00624572319575618
"Klebsiella",0.0187813615907525,-93.6329784997106,0.00139311965234387,-0.0145786883424453
"Lactococcus",0.0140072424343179,-1.56813729301492,0.00630022768149542,-0.00333998010495851
"Ligilactobacillus",0.0162709600511738,-119.220211041441,0.00117479493070789,-0.0102001335775648
"Romboutsia",0.00138328911816145,-0.319341545248283,0.0010331437720274,0.000459338574886202
"Streptococcus",0.135044275692746,0.470369808516342,0.465489099358541,0.390915593223695
"Terrisporobacter",0.0039444904999427,-0.949820712325493,0.0032423820266772,0.00667963428629313
"Turicibacter",0.0230448365218708,-0.323088514326599,0.0316531859814736,0.0124209253879489
"Weissella",0.0527648602768614,-2624.64940514835,0.00160624616632185,0.033482066791026
"unclassified-Enterobacteriaceae",0.11844243352042,-6.61544232417849,0.0338065435037999,-0.0481305723755365
"unclassified-Pasteurellaceae",0.00668301139778854,-4.65628648245763,0.00259000696559826,0.00792875465916926
